Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse
2024-06-30,,,,,,,,,AVOD
2024-09-30,,,,,,,,,AVOD
2024-12-31,6.82,159.75,11.0,1.4,-9.15,-2.84,-0.1476,-7.84,AVOD
2025-03-31,17.57,60.93,16.46,1.47,2.76,-5.17,-0.2145,-5.4,AVOD
2025-06-30,23.26,34.2,16.24,1.35,16.61,-6.64,-0.2737,-4.23,AVOD
2025-09-30,4.83,234.23,26.36,1.31,2.0,-1.97,-0.0856,-13.52,AVOD
2025-12-31,14.85,61.8,9.1,1.25,14.45,-0.25,-0.0112,-103.54,AVOD
2024-06-30,,,,,,,,,AVPGY
2024-09-30,69.48,4.55,0.03,13.04,,0.28,0.2534,50.6,AVPGY
2024-12-31,78.49,6.07,0.01,9.91,,-4.33,-4.4143,-2.91,AVPGY
2025-03-31,62.25,25.6,0.02,8.21,,0.64,0.5555,23.09,AVPGY
2025-06-30,67.55,4.59,0.02,5.73,,2.89,2.6744,4.8,AVPGY
2025-12-31,30.57,19.37,0.02,3.2,,-0.21,-0.2112,-60.73,AVPGY
2024-06-30,17.78,178.31,11.87,0.61,0.92,0.61,0.6918,263.81,AYCES
2024-09-30,46.29,44.93,8.32,0.92,0.16,2.18,2.7487,66.39,AYCES
2024-12-31,4.43,813.96,26.94,1.0,0.45,-0.87,-1.6884,-108.09,AYCES
2025-03-31,-27.51,-228.03,7.27,0.68,-0.15,-0.84,-1.3591,-134.28,AYCES
2025-12-31,-62.71,-161.22,1.67,0.56,-0.69,-1.75,-3.3566,-54.37,AYCES
2024-06-30,,,,,,,,,AYDEM
2024-09-30,,,,,,,,,AYDEM
2024-12-31,4.35,652.07,42.1,1.0,-0.43,-42.41,-21.5492,-0.3,AYDEM
2025-03-31,16.83,31.65,12.04,0.68,4.71,0.53,0.2286,28.43,AYDEM
2025-06-30,43.78,21.1,108.72,0.83,2.16,-0.11,-0.053,-122.7,AYDEM
2025-09-30,23.19,21.97,65.29,1.01,1.75,0.47,0.2402,27.06,AYDEM
2025-12-31,10.81,53.47,39.51,1.24,16.91,-8.47,-4.4212,-1.47,AYDEM
2024-06-30,,,,,,,,,AYEN
2024-09-30,18.09,24.04,11.18,1.45,2.17,1.83,0.8194,8.5,AYEN
2024-12-31,29.17,34.16,0.63,1.03,2.41,0.52,0.2371,29.38,AYEN
2025-03-31,26.98,18.06,7.56,1.06,2.6,0.45,0.2281,30.54,AYEN
2025-06-30,25.6,14.73,8.69,0.91,2.64,1.1,0.6129,11.36,AYEN
2025-09-30,2.11,165.94,7.75,0.91,4.11,-1.18,-0.6958,-10.01,AYEN
2024-06-30,,,,,,,,,AYGAZ
2024-09-30,10.08,72.33,0.9,1.26,-0.17,2.83,6.3444,9.32,AYGAZ
2024-12-31,8.21,82.03,0.23,1.36,-0.35,1.53,3.6461,16.22,AYGAZ
2025-03-31,9.43,84.73,1.29,1.19,-1.46,0.02,0.0539,1096.69,AYGAZ
2025-06-30,10.12,78.74,1.24,1.31,-0.35,1.65,4.3815,13.5,AYGAZ
2025-12-31,10.32,78.21,0.61,1.64,-0.46,3.23,10.2264,5.78,AYGAZ
2024-06-30,,,,,,,,,AZTEK
2024-09-30,16.58,34.2,7.26,1.81,0.43,3.47,0.0596,17.45,AZTEK
2024-12-31,16.26,31.6,6.65,1.79,0.67,5.61,0.1069,9.73,AZTEK
2025-03-31,21.62,43.14,9.87,2.01,1.3,0.13,0.0027,389.46,AZTEK
2025-06-30,16.8,46.55,7.73,1.76,1.31,1.39,0.0288,36.1,AZTEK
2025-09-30,13.22,65.28,9.85,1.67,3.68,-4.24,-0.0911,-11.42,AZTEK
2024-06-30,5.63,203.28,2.14,1.41,-9.91,-5.86,-1.7839,-5.35,BAKAB
2024-09-30,2.88,329.57,2.4,1.35,16.06,-3.94,-1.2581,-7.59,BAKAB
2024-12-31,11.69,102.17,2.06,1.29,8.27,-3.99,-1.2929,-7.39,BAKAB
2024-06-30,,,,,,,,,BANVT
2024-09-30,24.32,24.61,4.81,1.67,-0.14,18.33,16.7593,2.3,BANVT
2024-12-31,19.83,57.36,0.04,1.63,-0.66,2.57,2.5669,15.0,BANVT
2025-03-31,11.77,65.02,5.01,1.6,-1.08,-0.13,-0.1415,-271.99,BANVT
2025-06-30,0.37,2811.82,1.04,1.57,-5.45,-2.3,-2.6229,-14.68,BANVT
2025-12-31,-3.48,-599.99,0.07,1.31,0.41,-19.41,-21.4801,-1.79,BANVT
2024-06-30,31.8,44.96,24.18,0.95,2.86,0.69,0.0633,194.27,BARMA
2024-09-30,22.8,73.38,8.97,0.74,6.08,-0.55,-0.0541,-227.27,BARMA
2024-12-31,24.66,70.56,11.66,0.58,3.76,6.27,0.7958,15.44,BARMA
2025-03-31,23.1,87.15,11.99,0.49,4.07,1.15,0.1624,75.67,BARMA
2024-06-30,,,,,,,,,BERA
2024-09-30,25.6,43.17,5.68,2.69,0.14,1.58,0.4831,9.22,BERA
2024-12-31,20.78,51.3,3.18,2.5,-0.78,-1.56,-0.5117,-8.7,BERA
2025-03-31,21.23,73.61,0.07,2.58,0.23,2.76,0.9714,4.58,BERA
2025-06-30,24.35,49.5,4.0,2.49,0.08,-0.03,-0.0129,-344.81,BERA
2025-09-30,25.39,52.61,1.49,2.68,0.39,-0.17,-0.0692,-64.32,BERA
2024-06-30,,,,,,,,,BIENY
2024-09-30,-6.2,-52.05,25.55,1.98,23.94,-3.59,-1.1254,-5.19,BIENY
2024-12-31,8.12,499.19,3.5,1.7,-0.8,-8.39,-2.5894,-2.26,BIENY
2025-03-31,16.24,98.1,17.25,1.41,-6.27,-7.0,-2.2223,-2.63,BIENY
2025-06-30,24.68,53.88,20.65,1.16,10.48,-5.59,-1.7765,-3.29,BIENY
2025-09-30,17.54,57.72,10.76,1.12,1.62,-0.37,-0.1272,-45.92,BIENY
2024-06-30,,,,,,,,,BIGCH
2024-09-30,,,,,,,,,BIGCH
2024-12-31,28.83,64.96,1.43,0.83,0.66,0.88,0.0265,64.98,BIGCH
2025-03-31,13.55,125.35,4.25,0.68,0.72,-2.1,-0.0499,-34.55,BIGCH
2025-06-30,22.31,66.28,4.56,0.73,0.65,2.38,0.0578,29.84,BIGCH
2025-09-30,21.78,71.13,7.75,0.7,0.59,1.25,0.0328,52.58,BIGCH
2025-12-31,25.64,64.99,6.77,0.67,0.48,-0.76,-0.0181,-95.21,BIGCH
2024-06-30,,,,,,,,,BIMAS
2024-09-30,,,,,,,,,BIMAS
2024-12-31,18.06,89.22,0.99,0.99,0.79,3.07,7.9818,21.55,BIMAS
2025-03-31,17.5,103.13,1.05,1.01,0.6,2.05,4.5626,37.7,BIMAS
2025-06-30,20.55,87.44,1.12,0.95,0.86,1.99,4.5426,37.86,BIMAS
