Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,EPS,FK_Orani,Hisse,BKM_Filtre,FGBK_Filtre,FGG_Filtre,FK_Filtre,FS_Filtre,CO_Filtre,NB_Filtre,ROE_Filtre,EPS_Artis_Filtre,Icsel_Deger,Toplam_Gecilen
,13.22,15.32,,3.08,-2.19,4.04,2.3533,13.95,ALCTL,GECMEDI,GECTI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,232.64,3
,13.96,45.04,,2.66,-3.55,2.42,1.7648,18.6,ALCTL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,174.46,1
,13.03,154.02,,2.87,11.48,-6.66,-5.1189,-6.41,ALCTL,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,ALFAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,,,,,,,,,ALFAS,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
,0.85,687.61,9.16,1.36,-0.62,-0.97,-0.1303,-73.08,ALFAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,10.72,29.42,1.64,1.32,2.98,-0.52,-0.0585,-162.74,ALFAS,GECMEDI,GECTI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,8.14,46.07,2.99,1.13,3.27,1.16,0.1604,59.37,ALFAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,15.86,2
,5.43,67.71,2.84,1.12,2.59,-1.0,-0.1444,-65.96,ALFAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,2
,17.27,32.62,4.43,1.2,3.96,0.07,0.0094,1011.58,ALFAS,GECMEDI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,0.93,2
,93.06,74.16,4.84,4.28,-1.8,-0.62,-0.0409,-29.67,ALGYO,GECTI,GECMEDI,GECTI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,,3
,97.99,12.19,1.14,4.29,0.66,2.84,0.2069,5.86,ALGYO,GECTI,GECTI,GECTI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,20.45,5
,54.65,194.17,802.26,3.34,0.4,1.46,0.0957,12.67,ALGYO,GECTI,GECMEDI,GECMEDI,GECTI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,9.46,3
,81.36,57.8,92.97,2.11,3.79,0.22,0.0165,73.48,ALGYO,GECTI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECTI,GECMEDI,GECMEDI,1.63,2
,64.83,64.97,63.01,0.61,4.78,0.01,0.0005,2369.85,ALGYO,GECTI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,0.05,1
,,,,,,,,,ALGYO,GECMEDI,GECMEDI,GECMEDI,GECMEDI,VERI_YOK,GECMEDI,GECMEDI,GECMEDI,GECMEDI,,0
